,types,c.1.length.types..
875,TSTM WND,39
876,TSTMW,39
877,TSUNAMI,43
878,TUNDERSTORM WIND,39
879,TYPHOON,25
880,Unseasonable Cold,13
881,UNSEASONABLY COLD,13
882,UNSEASONABLY COOL,13
883,UNSEASONABLY COOL & WET,13
884,UNSEASONABLY DRY,9
885,UNSEASONABLY HOT,12
886,UNSEASONABLY WARM,12
887,UNSEASONABLY WARM & WET,12
888,UNSEASONABLY WARM AND DRY,12
889,UNSEASONABLY WARM YEAR,12
890,UNSEASONABLY WARM/WET,12
891,UNSEASONABLY WET,21
892,UNSEASONAL LOW TEMP,13
893,UNSEASONAL RAIN,21
894,UNUSUAL WARMTH,12
895,UNUSUAL/RECORD WARMTH,12
896,UNUSUALLY COLD,13
897,UNUSUALLY LATE SNOW,22
898,UNUSUALLY WARM,12
899,URBAN AND SMALL,15
900,URBAN AND SMALL STREAM,15
901,URBAN AND SMALL STREAM FLOOD,15
902,URBAN AND SMALL STREAM FLOODIN,15
903,Urban flood,15
904,Urban Flood,15
905,URBAN FLOOD,15
906,URBAN FLOOD LANDSLIDE,15
907,Urban Flooding,15
908,URBAN FLOODING,15
909,URBAN FLOODS,15
910,URBAN SMALL,15
911,URBAN SMALL STREAM FLOOD,15
912,URBAN/SMALL,15
913,URBAN/SMALL FLOODING,15
914,URBAN/SMALL STREAM,15
915,URBAN/SMALL STREAM  FLOOD,15
916,URBAN/SMALL STREAM FLOOD,15
917,URBAN/SMALL STREAM FLOODING,15
918,URBAN/SMALL STRM FLDG,15
919,URBAN/SML STREAM FLD,15
920,URBAN/SML STREAM FLDG,15
921,URBAN/STREET FLOODING,15
922,VERY DRY,9
923,VERY WARM,12
924,VOG,NA
925,Volcanic Ash,44
926,VOLCANIC ASH,44
927,Volcanic Ash Plume,44
928,VOLCANIC ASHFALL,44
929,VOLCANIC ERUPTION,44
930,WAKE LOW WIND,NA
931,WALL CLOUD,18
932,WALL CLOUD/FUNNEL CLOUD,18
933,WARM DRY CONDITIONS,9
934,WARM WEATHER,12
935,WATER SPOUT,45
936,WATERSPOUT,45
937,WATERSPOUT FUNNEL CLOUD,45
938,WATERSPOUT TORNADO,45
939,WATERSPOUT-,45
940,WATERSPOUT-TORNADO,45
941,WATERSPOUT/,45
942,WATERSPOUT/ TORNADO,45
943,WATERSPOUT/TORNADO,45
944,WATERSPOUTS,45
945,WAYTERSPOUT,45
946,wet micoburst,21
947,WET MICROBURST,21
948,Wet Month,21
949,WET SNOW,22
950,WET WEATHER,21
951,Wet Year,21
952,Whirlwind,10
953,WHIRLWIND,10
954,WILD FIRES,46
955,WILD/FOREST FIRE,46
956,WILD/FOREST FIRES,46
957,WILDFIRE,46
958,WILDFIRES,46
959,Wind,24
960,WIND,24
961,WIND ADVISORY,24
962,WIND AND WAVE,24
963,WIND CHILL,5
964,WIND CHILL/HIGH WIND,5
965,Wind Damage,24
966,WIND DAMAGE,24
967,WIND GUSTS,24
968,WIND STORM,24
969,WIND/HAIL,24
970,WINDS,24
971,WINTER MIX,48
972,WINTER STORM,47
973,WINTER STORM HIGH WINDS,47
974,WINTER STORM/HIGH WIND,47
975,WINTER STORM/HIGH WINDS,47
976,WINTER STORMS,47
977,Winter Weather,48
978,WINTER WEATHER,48
979,WINTER WEATHER MIX,48
980,WINTER WEATHER/MIX,48
981,WINTERY MIX,48
982,Wintry mix,48
983,Wintry Mix,48
984,WINTRY MIX,48
985,WND,24
